,Slowest end time,Training end time,Delay time (sec),Training stall time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3
1,2021-08-19 14:46:46.946051,2021-08-19 14:46:47.856051,0,0,0,0,0,0
2,2021-08-19 14:46:47.027548,2021-08-19 14:46:48.766351,0,0,0,0,0,0
3,2021-08-19 14:46:47.814771,2021-08-19 14:46:49.676651,0,0,0,0,0,0
4,2021-08-19 14:46:55.668502,2021-08-19 14:46:56.578802,0.0058429999999995985,5.991851,5.986008,5.988727,5.989615,5.991851
5,2021-08-19 14:46:55.755455,2021-08-19 14:46:57.489102,0,0,0,0,0,0
6,2021-08-19 14:46:56.625363,2021-08-19 14:46:58.399402,0,0,0,0,0,0
7,2021-08-19 14:47:04.347212,2021-08-19 14:47:05.257512,0.0058429999999995985,5.94781,5.941967,5.944686,5.945574,5.94781
8,2021-08-19 14:47:04.435112,2021-08-19 14:47:06.167812,0,0,0,0,0,0
9,2021-08-19 14:47:05.377381,2021-08-19 14:47:07.078112,0,0,0,0,0,0
10,2021-08-19 14:47:13.182806,2021-08-19 14:47:14.093106,0.005843000000000487,6.104694,6.098851,6.10157,6.102458,6.104694
11,2021-08-19 14:47:13.206539,2021-08-19 14:47:15.003406,0,0,0,0,0,0
12,2021-08-19 14:47:14.207268,2021-08-19 14:47:15.913706,0,0,0,0,0,0
13,2021-08-19 14:47:21.994915,2021-08-19 14:47:22.905215,0.005843000000000487,6.081209,6.075366,6.078085,6.078973,6.081209
14,2021-08-19 14:47:21.961018,2021-08-19 14:47:23.815515,0,0,0,0,0,0
15,2021-08-19 14:47:22.791558,2021-08-19 14:47:24.725815,0,0,0,0,0,0
16,2021-08-19 14:47:30.712174,2021-08-19 14:47:31.622474,0.005843000000000487,5.986359,5.980516,5.983235,5.984123,5.986359
17,2021-08-19 14:47:30.713160,2021-08-19 14:47:32.532774,0,0,0,0,0,0
18,2021-08-19 14:47:31.507424,2021-08-19 14:47:33.443074,0,0,0,0,0,0
