,Slowest end time,Training time,Training end time,Delay time (sec),Training stall time (sec),Training start time_gpu0,Training start time_gpu1,Training start time_gpu2,Training start time_gpu3,Pure training_gpu0,Pure training_gpu1,Pure training_gpu2,Pure training_gpu3,Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3
1,2021-09-01 19:48:54.812763759,9.545027,2021-09-01 19:48:55.499482009,0.10314555999999975,8.671697,2021-09-01 19:48:55.191641000,2021-09-01 19:48:55.499482000,2021-09-01 19:48:55.268586000,2021-09-01 19:48:55.280864000,0.8729139999999997,0.8728529999999992,0.8733299999999993,0.8723849999999995,8.56855144,8.608438002,8.671697,8.602476009
2,2021-09-01 19:48:54.924783312,0.896025,2021-09-01 19:48:56.095136000,0.0,2e-06,2021-09-01 19:48:55.781611000,2021-09-01 19:48:56.094582000,2021-09-01 19:48:56.095136000,2021-09-01 19:48:56.093251000,0.896023,0.8957470000000001,0.894275,0.89566,2e-06,2e-06,2e-06,2e-06
3,2021-09-01 19:48:54.785576278,0.8738119999999999,2021-09-01 19:48:58.612528000,0.0,2e-06,2021-09-01 19:48:56.980967000,2021-09-01 19:48:56.988921000,2021-09-01 19:48:58.612528000,2021-09-01 19:48:56.990001000,0.872123,0.8724299999999998,0.87381,0.872717,2e-06,2e-06,2e-06,2e-06
4,2021-09-01 19:49:03.555212975,5.3799162240000005,2021-09-01 19:49:04.292639005,0.11192696999999985,4.505148224,2021-09-01 19:49:03.945978000,2021-09-01 19:49:04.059359000,2021-09-01 19:49:03.968382000,2021-09-01 19:49:04.292639000,0.8745840000000005,0.8742210000000004,0.8747680000000004,0.8742960000000002,4.402571838,4.416988,4.393221254,4.505148224
5,2021-09-01 19:49:03.752664102,0.89434,2021-09-01 19:49:04.890191000,0.0,2e-06,2021-09-01 19:49:04.713004000,2021-09-01 19:49:04.670439000,2021-09-01 19:49:04.660043000,2021-09-01 19:49:04.890191000,0.894116,0.8943380000000001,0.893101,0.89402,2e-06,2e-06,2e-06,2e-06
6,2021-09-01 19:49:05.148650338,0.868773,2021-09-01 19:49:07.218588000,4.000000000000001e-06,6e-06,2021-09-01 19:49:05.776642000,2021-09-01 19:49:05.779927000,2021-09-01 19:49:07.218588000,2021-09-01 19:49:05.784146000,0.8671899999999999,0.8673289999999998,0.8687670000000001,0.867747,6e-06,3e-06,2e-06,2e-06
7,2021-09-01 19:49:12.569959864,5.7874945,2021-09-01 19:49:13.116838005,0.07878629899999989,4.9092295,2021-09-01 19:49:12.883781000,2021-09-01 19:49:12.966588000,2021-09-01 19:49:12.889661000,2021-09-01 19:49:13.116838000,0.8782649999999999,0.8778640000000006,0.8781140000000001,0.8777930000000005,4.8304432010000005,4.846241345,4.9092295,4.845180834
8,2021-09-01 19:49:12.560428795,0.896637,2021-09-01 19:49:13.716040000,4.000000000000001e-06,6e-06,2021-09-01 19:49:13.477357000,2021-09-01 19:49:13.561645000,2021-09-01 19:49:13.565903000,2021-09-01 19:49:13.716040000,0.896553,0.8966310000000001,0.895139,0.8962030000000001,2e-06,2e-06,6e-06,2e-06
9,2021-09-01 19:49:13.824569289,0.868023,2021-09-01 19:49:17.059303000,4.000000000000001e-06,6e-06,2021-09-01 19:49:14.607849000,2021-09-01 19:49:14.607166000,2021-09-01 19:49:17.059303000,2021-09-01 19:49:14.613438000,0.8662830000000001,0.8665090000000002,0.868017,0.8668710000000002,6e-06,2e-06,2e-06,2e-06
10,2021-09-01 19:49:21.219155123,4.5192387400000005,2021-09-01 19:49:22.709515004,0.04006073999999993,3.64835974,2021-09-01 19:49:21.771329000,2021-09-01 19:49:22.709515000,2021-09-01 19:49:21.378490000,2021-09-01 19:49:21.841841000,0.8705949999999998,0.8703320000000003,0.8708790000000004,0.8703219999999998,3.6209934539999997,3.647165999,3.608299,3.64835974
