,Slowest end time,Training end time,Delay time (sec),Training stall time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3
1,2021-08-19 14:46:47.108000,2021-08-19 14:46:48.018000,0,0,0,0,0,0
2,2021-08-19 14:46:47.287000,2021-08-19 14:46:48.928300,0,0,0,0,0,0
3,2021-08-19 14:46:50.988000,2021-08-19 14:46:51.898300,2.0597,2.0597,0,0,2.0597,0
4,2021-08-19 14:46:55.694580,2021-08-19 14:46:56.604880,0.06904999999999983,3.79628,3.72723,3.778787,3.767307,3.79628
5,2021-08-19 14:46:56.317499,2021-08-19 14:46:57.515180,0,0,0,0,0,0
6,2021-08-19 14:46:59.643457,2021-08-19 14:47:00.553757,2.128277,2.128277,0,0,2.128277,0
7,2021-08-19 14:47:04.428408,2021-08-19 14:47:05.338708,0.0471379999999999,3.874651,3.827513,3.874651,3.793482,3.666968
8,2021-08-19 14:47:04.796309,2021-08-19 14:47:06.249008,0,0,0,0,0,0
9,2021-08-19 14:47:08.685386,2021-08-19 14:47:09.595686,2.436378,2.436378,0,0,2.436378,0
10,2021-08-19 14:47:13.419310,2021-08-19 14:47:14.329610,0.33645400000000025,3.823624,3.48717,3.823624,3.506317,3.520161
11,2021-08-19 14:47:13.441661,2021-08-19 14:47:15.239910,0,0,0,0,0,0
12,2021-08-19 14:47:17.380244,2021-08-19 14:47:18.290544,2.140334,2.140334,0,0,2.140334,0
13,2021-08-19 14:47:22.555135,2021-08-19 14:47:23.465435,0.7301140000000004,4.264591,3.534477,4.264591,3.429975,3.577232
14,2021-08-19 14:47:22.328834,2021-08-19 14:47:24.375735,0,0,0,0,0,0
15,2021-08-19 14:47:26.191293,2021-08-19 14:47:27.101593,1.815558,1.815558,0,0,1.815558,0
16,2021-08-19 14:47:31.295144,2021-08-19 14:47:32.205444,0.7728520000000003,4.193551,3.420699,4.193551,3.367554,3.449312
17,2021-08-19 14:47:30.950643,2021-08-19 14:47:33.115744,0,0,0,0,0,0
18,2021-08-19 14:47:34.956922,2021-08-19 14:47:35.867222,1.841178,1.841178,0,0,1.841178,0
